GEO_ID,NAME,B19001_001E,B19001_001M,B19001_002E,B19001_002M,B19001_003E,B19001_003M,B19001_004E,B19001_004M,B19001_005E,B19001_005M,B19001_006E,B19001_006M,B19001_007E,B19001_007M,B19001_008E,B19001_008M,B19001_009E,B19001_009M,B19001_010E,B19001_010M,B19001_011E,B19001_011M,B19001_012E,B19001_012M,B19001_013E,B19001_013M,B19001_014E,B19001_014M,B19001_015E,B19001_015M,B19001_016E,B19001_016M,B19001_017E,B19001_017M
Geography,Geographic Area Name,Estimate!!Total:,Margin of Error!!Total:,"Estimate!!Total:!!Less than $10,000","Margin of Error!!Total:!!Less than $10,000","Estimate!!Total:!!$10,000 to $14,999","Margin of Error!!Total:!!$10,000 to $14,999","Estimate!!Total:!!$15,000 to $19,999","Margin of Error!!Total:!!$15,000 to $19,999","Estimate!!Total:!!$20,000 to $24,999","Margin of Error!!Total:!!$20,000 to $24,999","Estimate!!Total:!!$25,000 to $29,999","Margin of Error!!Total:!!$25,000 to $29,999","Estimate!!Total:!!$30,000 to $34,999","Margin of Error!!Total:!!$30,000 to $34,999","Estimate!!Total:!!$35,000 to $39,999","Margin of Error!!Total:!!$35,000 to $39,999","Estimate!!Total:!!$40,000 to $44,999","Margin of Error!!Total:!!$40,000 to $44,999","Estimate!!Total:!!$45,000 to $49,999","Margin of Error!!Total:!!$45,000 to $49,999","Estimate!!Total:!!$50,000 to $59,999","Margin of Error!!Total:!!$50,000 to $59,999","Estimate!!Total:!!$60,000 to $74,999","Margin of Error!!Total:!!$60,000 to $74,999","Estimate!!Total:!!$75,000 to $99,999","Margin of Error!!Total:!!$75,000 to $99,999","Estimate!!Total:!!$100,000 to $124,999","Margin of Error!!Total:!!$100,000 to $124,999","Estimate!!Total:!!$125,000 to $149,999","Margin of Error!!Total:!!$125,000 to $149,999","Estimate!!Total:!!$150,000 to $199,999","Margin of Error!!Total:!!$150,000 to $199,999","Estimate!!Total:!!$200,000 or more","Margin of Error!!Total:!!$200,000 or more"
1400000US19153010411,Census Tract 104.11,1964,201,69,71,14,24,32,50,88,80,55,89,43,39,97,100,149,106,79,84,137,101,308,191,250,111,312,133,92,63,166,82,73,51
1400000US19153010500,Census Tract 105,2495,322,97,86,19,31,79,79,123,108,148,129,64,75,114,116,19,31,117,82,55,60,370,203,563,299,148,84,238,129,120,60,221,124
1400000US19153010601,Census Tract 106.01,1206,206,32,52,0,10,156,153,80,98,59,44,59,83,137,86,20,26,38,43,40,47,31,33,113,75,124,75,134,97,130,118,53,43
1400000US19153010602,Census Tract 106.02,2803,196,88,64,11,19,0,15,39,47,39,45,53,61,157,111,83,77,78,62,322,147,317,141,431,175,305,133,332,142,286,107,262,120
1400000US19153010702,Census Tract 107.02,2354,213,21,19,32,21,180,190,56,38,15,12,36,30,52,33,87,76,156,94,92,47,160,82,204,67,371,100,245,81,426,119,221,102
1400000US19153010703,Census Tract 107.03,2235,274,81,102,36,54,13,23,17,16,83,67,66,48,112,90,79,58,138,76,209,126,404,248,251,161,271,111,95,64,306,147,74,68
1400000US19153010707,Census Tract 107.07,1569,256,0,10,7,13,15,25,0,10,68,103,118,86,0,10,91,73,124,98,225,191,203,121,234,114,170,89,112,74,117,74,85,63
1400000US19153010708,Census Tract 107.08,2186,232,58,60,43,50,21,35,0,15,11,19,135,122,30,40,0,15,98,125,51,53,178,92,292,127,407,243,82,67,275,110,505,164
1400000US19153010709,Census Tract 107.09,1696,184,39,27,53,49,27,28,52,52,24,22,64,40,59,34,34,35,58,55,72,47,203,89,301,101,337,127,102,43,155,77,116,61
1400000US19153010803,Census Tract 108.03,1974,210,40,46,13,23,86,76,90,98,79,90,21,32,88,94,30,40,107,62,93,85,260,108,284,138,222,124,155,105,286,128,120,77
1400000US19153010804,Census Tract 108.04,2085,247,40,35,69,56,0,15,0,15,5,8,18,21,23,26,151,112,74,57,146,74,259,118,221,129,340,130,235,106,213,93,291,154
1400000US19153010805,Census Tract 108.05,2741,318,0,15,0,15,24,39,53,59,59,92,0,15,77,89,42,44,91,87,216,133,233,142,343,150,440,182,219,120,558,232,386,238
1400000US19153010806,Census Tract 108.06,1748,302,47,76,102,140,0,10,245,206,42,51,53,66,132,116,74,76,89,83,58,51,146,106,250,116,221,136,59,50,192,198,38,34
1400000US19153011001,Census Tract 110.01,1720,258,163,100,49,54,20,24,15,16,138,101,60,55,22,24,93,77,142,124,188,129,167,79,216,86,222,159,9,14,144,151,72,78
1400000US19153011021,Census Tract 110.21,2000,172,9,14,36,55,42,38,17,20,16,26,9,14,14,17,10,16,64,54,49,37,193,94,342,120,422,144,303,106,276,87,198,66
1400000US19153011025,Census Tract 110.25,1418,144,44,45,0,10,30,28,20,33,17,24,38,51,0,10,7,11,37,32,142,88,108,65,127,56,153,65,179,64,178,74,338,88
